SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
ALL_ 775	GSM1143782	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_162	GSM1143783	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_191	GSM1143784	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_188	GSM1143785	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_194	GSM1143786	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_168	GSM1143787	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_165	GSM1143788	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_198	GSM1143789	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_175	GSM1143790	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_169	GSM1143791	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_180	GSM1143792	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_195	GSM1143793	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_187	GSM1143794	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_233	GSM1143795	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 776	GSM1143796	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_212	GSM1143797	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_234	GSM1143798	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_285	GSM1143799	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_283	GSM1143800	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_266	GSM1143801	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_250	GSM1143802	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_244	GSM1143803	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_253	GSM1143804	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_280	GSM1143805	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_269	GSM1143806	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_258	GSM1143807	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_331	GSM1143808	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_311	GSM1143809	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_294	GSM1143810	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_293	GSM1143811	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_292	GSM1143812	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_323	GSM1143813	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_309	GSM1143814	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_357	GSM1143815	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_325	GSM1143816	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_359	GSM1143817	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_426	GSM1143818	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_369	GSM1143819	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_374	GSM1143820	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_379	GSM1143821	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_428	GSM1143822	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_450	GSM1143823	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_375	GSM1143824	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_382	GSM1143825	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_414	GSM1143826	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_385	GSM1143827	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_415	GSM1143828	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_399	GSM1143829	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_419	GSM1143830	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_402	GSM1143831	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_457	GSM1143832	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_458	GSM1143833	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_461	GSM1143834	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_459	GSM1143835	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_519	GSM1143836	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_467	GSM1143837	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_466	GSM1143838	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_506	GSM1143839	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_530	GSM1143840	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_472	GSM1143841	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_488	GSM1143842	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_476	GSM1143843	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_484	GSM1143844	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_477	GSM1143845	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_478	GSM1143846	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_483	GSM1143847	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_479	GSM1143848	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_535	GSM1143849	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
 ALL patient ALL_522	GSM1143850	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_492	GSM1143851	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_494	GSM1143852	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_497	GSM1143853	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_499	GSM1143854	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_541	GSM1143855	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_537	GSM1143856	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_581	GSM1143857	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_548	GSM1143858	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_552	GSM1143859	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_560	GSM1143860	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 777	GSM1143861	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 778	GSM1143862	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 779	GSM1143863	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 780	GSM1143864	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_5	GSM1143865	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_6	GSM1143866	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_1	GSM1143867	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_7	GSM1143868	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_16	GSM1143869	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 781	GSM1143870	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 782	GSM1143871	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_10	GSM1143872	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_27	GSM1143873	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_20	GSM1143874	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_ 783	GSM1143875	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_38	GSM1143876	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_43	GSM1143877	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_42	GSM1143878	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_88	GSM1143879	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_47	GSM1143880	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_50	GSM1143881	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_72	GSM1143882	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_143	GSM1143883	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_149	GSM1143884	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_144	GSM1143885	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_145	GSM1143886	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_140	GSM1143887	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_130	GSM1143888	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
ALL_148	GSM1143889	U133 Plus 2.0	ALL_NORDLUND_2013_01.Rda	RMA Normalization
