SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	PARENT_CELL_LINE	BIOSPECIMEN_TYPE	ER_STATUS	PGR_STATUS	TAMOXIFEN_SENSITIVITY	FASLODEX_SENSITIVITY	DRUG_17BETA_ESTRADIOL	MEDIA
1-MCF-7-2-P46		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		RED
2-MCF-7-2-P47		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		RED
3-MCF-7-2-P48		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		RED
MCF7-2-P58		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE	NO	WHITE
MCF7-2-P59		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE	NO	WHITE
MCF7-2-P60		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE	NO	WHITE
MCF7-2-STR-P58		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE	YES	WHITE
MCF7-2-STR-P59		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE	YES	WHITE
MCF7-2-STR-P60		REPLICATE		MCF7	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE	YES	WHITE
4-RR-P8		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE		WHITE
5-RR-P9		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE		WHITE
6-RR-P10		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE		WHITE
RR-P38		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE	NO	WHITE
RR-P39		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE	NO	WHITE
RR-P43		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE	NO	WHITE
RR-STR-P38		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE	YES	WHITE
RR-STR-P39		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE	YES	WHITE
RR-STR-P43		REPLICATE		MCF7-RR	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	SENSITIVE	YES	WHITE
7-LCC-1-P34		REPLICATE		LCC-1	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		WHITE
8-LCC-1-P35		REPLICATE		LCC-1	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		WHITE
9-LCC-1-P36		REPLICATE		LCC-1	GENE_EXP	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		WHITE
10-LCC9-P10		REPLICATE		LCC-9	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	RESISTANT		WHITE
11-LCC9-P11		REPLICATE		LCC-9	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	RESISTANT		WHITE
12-LCC9-P12		REPLICATE		LCC-9	GENE_EXP	POSITIVE	POSITIVE	RESISTANT	RESISTANT		WHITE
LCC1_A-pos		REPLICATE		LCC-1	METABOLOMICS	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		
LCC1_B-pos		REPLICATE		LCC-1	METABOLOMICS	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		
LCC1_C-pos		REPLICATE		LCC-1	METABOLOMICS	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		
LCC9_A-pos		REPLICATE		LCC-9	METABOLOMICS	POSITIVE	POSITIVE	RESISTANT	RESISTANT		
LCC9_B-pos		REPLICATE		LCC-9	METABOLOMICS	POSITIVE	POSITIVE	RESISTANT	RESISTANT		
LCC9_C-pos		REPLICATE		LCC-9	METABOLOMICS	POSITIVE	POSITIVE	RESISTANT	RESISTANT		
LCC1_A-pos-pareto		REPLICATE		LCC-1	METABOLOMICS	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		
LCC1_B-pos-pareto		REPLICATE		LCC-1	METABOLOMICS	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		
LCC1_C-pos-pareto		REPLICATE		LCC-1	METABOLOMICS	POSITIVE	POSITIVE	SENSITIVE	SENSITIVE		
LCC9_A-pos-pareto		REPLICATE		LCC-9	METABOLOMICS	POSITIVE	POSITIVE	RESISTANT	RESISTANT		
LCC9_B-pos-pareto		REPLICATE		LCC-9	METABOLOMICS	POSITIVE	POSITIVE	RESISTANT	RESISTANT		
LCC9_C-pos-pareto		REPLICATE		LCC-9	METABOLOMICS	POSITIVE	POSITIVE	RESISTANT	RESISTANT		
