SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
1718911267_F	1718911267_F	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911273_B	1718911273_B	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911273_C	1718911273_C	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911273_D	1718911273_D	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911273_E	1718911273_E	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911273_F	1718911273_F	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911274_A	1718911274_A	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911274_B	1718911274_B	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911274_C	1718911274_C	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911274_D	1718911274_D	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911274_E	1718911274_E	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911274_F	1718911274_F	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911290_A	1718911290_A	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911290_B	1718911290_B	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911290_C	1718911290_C	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911290_D	1718911290_D	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
1718911290_E	1718911290_E	Illumina HumanWG-6 v2.0 BeadChip	BRC_CICATIELLO_2010_01.Rda	Quantile Normalization
