SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
2	GSM496924	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
3	GSM496925	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
14	GSM496926	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
15	GSM496927	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
17	GSM496928	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
18	GSM496929	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
19	GSM496930	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
20	GSM496931	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
22	GSM496932	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
23	GSM496933	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
24	GSM496934	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
31	GSM496935	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
34	GSM496936	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
42	GSM496937	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
44	GSM496938	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
53	GSM496939	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
57	GSM496940	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
64	GSM496941	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
65	GSM496942	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
66	GSM496943	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
67	GSM496944	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
68	GSM496945	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
69	GSM496946	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
71	GSM496947	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
75	GSM496948	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
79	GSM496949	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
80	GSM496950	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
83	GSM496951	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
85	GSM496952	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
86	GSM496953	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
87	GSM496954	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
88	GSM496955	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
89	GSM496956	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
91	GSM496957	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
98	GSM496958	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
100	GSM496959	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
101	GSM496960	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
106	GSM496961	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
107	GSM496962	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
112	GSM496963	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
119	GSM496964	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
122	GSM496965	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
132	GSM496966	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
139	GSM496967	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
144	GSM496968	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
146	GSM496969	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
148	GSM496970	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
150	GSM496971	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
157	GSM496972	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
163	GSM496973	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
167	GSM496974	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
185	GSM496975	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
190	GSM496976	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
197	GSM496977	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
201	GSM496978	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
209	GSM496979	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
210	GSM496980	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
218	GSM496981	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
220	GSM496982	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
221	GSM496983	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
222	GSM496984	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
223	GSM496985	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
232	GSM496986	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
234	GSM496987	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
240	GSM496988	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
245	GSM496989	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
246	GSM496990	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
247	GSM496991	Whole Human Genome Microarray 4x44K G4112F	BRC_ENERLY_2011_01.Rda	Quantile Normalization
