PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM232259	GSM232259	GSM232259.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232206	GSM232206	GSM232206.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232270	GSM232270	GSM232270.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232258	GSM232258	GSM232258.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232248	GSM232248	GSM232248.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232222	GSM232222	GSM232222.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232199	GSM232199	GSM232199.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232214	GSM232214	GSM232214.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232227	GSM232227	GSM232227.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232234	GSM232234	GSM232234.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232262	GSM232262	GSM232262.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232230	GSM232230	GSM232230.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232220	GSM232220	GSM232220.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232238	GSM232238	GSM232238.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232269	GSM232269	GSM232269.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232198	GSM232198	GSM232198.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232252	GSM232252	GSM232252.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232229	GSM232229	GSM232229.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232223	GSM232223	GSM232223.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232260	GSM232260	GSM232260.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232218	GSM232218	GSM232218.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232267	GSM232267	GSM232267.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232232	GSM232232	GSM232232.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232254	GSM232254	GSM232254.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232202	GSM232202	GSM232202.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232236	GSM232236	GSM232236.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232261	GSM232261	GSM232261.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232213	GSM232213	GSM232213.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232240	GSM232240	GSM232240.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232201	GSM232201	GSM232201.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232239	GSM232239	GSM232239.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232266	GSM232266	GSM232266.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232256	GSM232256	GSM232256.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232215	GSM232215	GSM232215.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232245	GSM232245	GSM232245.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232210	GSM232210	GSM232210.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232244	GSM232244	GSM232244.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232203	GSM232203	GSM232203.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232246	GSM232246	GSM232246.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232225	GSM232225	GSM232225.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232243	GSM232243	GSM232243.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232235	GSM232235	GSM232235.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232265	GSM232265	GSM232265.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232195	GSM232195	GSM232195.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232200	GSM232200	GSM232200.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232205	GSM232205	GSM232205.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232194	GSM232194	GSM232194.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232241	GSM232241	GSM232241.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232208	GSM232208	GSM232208.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232224	GSM232224	GSM232224.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232226	GSM232226	GSM232226.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232257	GSM232257	GSM232257.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232251	GSM232251	GSM232251.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232209	GSM232209	GSM232209.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232217	GSM232217	GSM232217.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232237	GSM232237	GSM232237.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232249	GSM232249	GSM232249.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232255	GSM232255	GSM232255.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232233	GSM232233	GSM232233.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232216	GSM232216	GSM232216.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232221	GSM232221	GSM232221.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232250	GSM232250	GSM232250.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232228	GSM232228	GSM232228.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232219	GSM232219	GSM232219.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232207	GSM232207	GSM232207.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232253	GSM232253	GSM232253.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232211	GSM232211	GSM232211.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232196	GSM232196	GSM232196.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232242	GSM232242	GSM232242.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232247	GSM232247	GSM232247.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232264	GSM232264	GSM232264.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232212	GSM232212	GSM232212.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
GSM232197	GSM232197	GSM232197.CEL	U133 Plus 2.0	BRC_LOI_2008_02.Rda	RMA Normalization
