PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GUYT_50102	GUYT_50102_SEL	GSM151259.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50105	GUYT_50105_SEL	GSM151260.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50106	GUYT_50106_SEL	GSM151261.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50107	GUYT_50107_SEL	GSM151262.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50108	GUYT_50108_SEL	GSM151263.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50109	GUYT_50109_SEL	GSM151264.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50110	GUYT_50110_SEL	GSM151265.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50111	GUYT_50111_SEL	GSM151266.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50112	GUYT_50112_SEL	GSM151267.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50115	GUYT_50115_SEL	GSM151268.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50116	GUYT_50116_SEL	GSM151269.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50117	GUYT_50117_SEL	GSM151270.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50118	GUYT_50118_SEL	GSM151271.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50119	GUYT_50119_SEL	GSM151272.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
