SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
X100B08	GSM79114	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X101B88	GSM79115	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X102B06	GSM79116	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X103B41	GSM79117	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X104B91	GSM79118	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X105B13	GSM79119	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X106B55	GSM79120	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X10B88	GSM79121	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X110B34	GSM79122	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X111B51	GSM79123	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X112B55	GSM79124	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X113B11	GSM79125	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X114B68	GSM79126	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X11B47	GSM79127	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X120B73	GSM79128	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X122B81	GSM79129	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X124B25	GSM79130	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X127B00	GSM79131	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X128B48	GSM79132	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X130B92	GSM79133	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X131B79	GSM79134	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X134B33	GSM79135	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X135B40	GSM79136	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X136B04	GSM79137	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X137B88	GSM79138	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X138B34	GSM79139	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X139B03	GSM79140	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X13B79	GSM79141	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X140B91	GSM79142	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X142B05	GSM79143	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X143B81	GSM79144	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X144B49	GSM79145	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X145B10	GSM79146	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X146B39	GSM79147	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X147B19	GSM79148	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X148B49	GSM79149	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X14B98	GSM79150	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X150B81	GSM79151	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X151B84	GSM79152	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X152B99	GSM79153	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X153B09	GSM79154	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X154B42	GSM79155	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X155B52	GSM79156	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X156B01	GSM79157	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X158B84	GSM79158	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X159B47	GSM79159	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X15C94	GSM79160	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X160B16	GSM79161	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X161B31	GSM79162	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X162B98	GSM79163	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X163B27	GSM79164	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X164B81	GSM79165	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X165B72	GSM79166	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X166B79	GSM79167	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X168B51	GSM79168	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X169B79	GSM79169	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X16C97	GSM79170	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X170B15	GSM79171	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X171B77	GSM79172	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X172B19	GSM79173	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X173B43	GSM79174	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
X174B41	GSM79175	U133A	BRC_MILLER_2005_01_U133A.Rda	RMA normalization
