SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
M106	GSM505366	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M107	GSM505464	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M108	GSM505367	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M111	GSM505351	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M113	GSM505331	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M116	GSM505349	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M117	GSM505365	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M120	GSM505460	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M121	GSM505345	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M123	GSM505368	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M126	GSM505369	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M128	GSM505347	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M129	GSM505476	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M130	GSM505343	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M133	GSM505372	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M135	GSM505362	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M136	GSM505358	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M139	GSM505364	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M141	GSM505463	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M145	GSM505482	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M146	GSM505478	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M153	GSM505336	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M154	GSM505333	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M155	GSM505346	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M156	GSM505350	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M157	GSM505327	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M158	GSM505354	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M159	GSM505342	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M161	GSM505341	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M165	GSM505334	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M176	GSM505329	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M177	GSM505339	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M179	GSM505373	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M180	GSM505344	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M181	GSM505375	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M182	GSM505371	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M186	GSM505340	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M188	GSM505353	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M189	GSM505374	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M195	GSM505506	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M196	GSM505328	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M199	GSM505356	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M201	GSM505352	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M205	GSM505370	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M206	GSM505359	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M211	GSM505360	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M212	GSM505335	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M214	GSM505330	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M215	GSM505357	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M216	GSM505363	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M217	GSM505361	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M220	GSM505337	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M226	GSM505355	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M227	GSM505348	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M228	GSM505338	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M230	GSM505376	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M230R1	GSM505377	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M231	GSM505402	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M231R1	GSM505403	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M232	GSM505507	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M233	GSM505421	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M233R1	GSM505503	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M234	GSM505412	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M235	GSM505400	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M235R1	GSM505401	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M236	GSM505378	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M236R1	GSM505379	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M237	GSM505384	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M237R1	GSM505385	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M238	GSM505390	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M238R1	GSM505391	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M239	GSM505386	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M239R1	GSM505387	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M245	GSM505394	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M245R1	GSM505395	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M246	GSM505382	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M246R1	GSM505383	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M247	GSM505396	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M247R1	GSM505397	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M251	GSM505414	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M255	GSM505416	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M256	GSM505406	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M256R1	GSM505407	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M257	GSM505404	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M257R1	GSM505405	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M258	GSM505380	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M258R1	GSM505381	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M259	GSM505410	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M260	GSM505415	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M261	GSM505426	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M263	GSM505508	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M264	GSM505388	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M264R1	GSM505389	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M266	GSM505398	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M266R1	GSM505399	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M270	GSM505408	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M270R1	GSM505409	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M280	GSM505392	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M280R1	GSM505393	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M281	GSM505509	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M282	GSM505424	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M283	GSM505510	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M286	GSM505417	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M286R1	GSM505504	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M287	GSM505418	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M294	GSM505511	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M295	GSM505423	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M297	GSM505422	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M301	GSM505411	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M302	GSM505425	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M302R1	GSM505505	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M304	GSM505420	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M309	GSM505419	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M310	GSM505413	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M314	GSM505500	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M315	GSM505452	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M316	GSM505434	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M316R1	GSM505445	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M319	GSM505512	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M322	GSM505431	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M322R1	GSM505441	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M323	GSM505448	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M330	GSM505433	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
M330R1	GSM505446	U133A	BRC_POPOVICI_2010_01.Rda	RMA normalization
