SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
Sample_001	X00300BR2	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_004_003_002	Sample_004_003_002	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_005	X00464UR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_006_008_007	Sample_006_008_007	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_009	X00620AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_010_011_012	Sample_010_011_012	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_013_014_015	Sample_013_014_015	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_016	X00852UR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_017	X00871KR3	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_018	X00888BR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_019	X00947UR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_020	X00990AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_021	X01720MR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_022	X01720VR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_023	X01984BR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_024	X02050MR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_025	X02050VR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_026	X02184AR2	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_027	X02184HR2	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_028	X02189AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_029	X02189HR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_030	X02308AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_031	XC02308H	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_032	X02500AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_033	X02663BR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_034	X02679AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_035	X02679BR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_036	X02779AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_037	X02779BR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_038	X02815AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_039	X02815HR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_040	X02832AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
Sample_041	X03023AR1	U133A	CA_ARRAY_COLON.Rda	mas5 normalization
