PATIENT_ID	SAMPLE_ID	PRIOR_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
1	GSM426557	1_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
2	GSM426558	2_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
4	GSM426559	4_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
5	GSM426587	5_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
6	GSM426588	6_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
7	GSM426589	7_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
8	GSM426590	8_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
9	GSM426591	9_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
10	GSM426592	10_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
11	GSM426593	11_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
12	GSM426594	12_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
13	GSM426560	13_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
14	GSM426561	14_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
15	GSM426562	15_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
16	GSM426563	16_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
17	GSM426564	17_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
18	GSM426565	18_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
20	GSM426566	20_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
21	GSM426567	21_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
24	GSM426568	24_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
25	GSM426569	25_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
26	GSM426570	26_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
27	GSM426571	27_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
28	GSM426572	28_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
29	GSM426573	29_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
30	GSM426574	30_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
31	GSM426575	31_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
32	GSM426576	32_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
33	GSM426577	33_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
34	GSM426578	34_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
35	GSM426579	35_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
36	GSM426580	36_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
39	GSM426581	39_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
40	GSM426582	40_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
42	GSM426583	42_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
43	GSM426584	43_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
44	GSM426585	44_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
46	GSM426586	46_CIN_CHR.TXT	CIN INDEX CHROMOSOME	CRC_BROSENS_2010_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
1	GSM426557	1_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
2	GSM426558	2_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
4	GSM426559	4_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
5	GSM426587	5_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
6	GSM426588	6_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
7	GSM426589	7_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
8	GSM426590	8_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
9	GSM426591	9_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
10	GSM426592	10_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
11	GSM426593	11_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
12	GSM426594	12_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
13	GSM426560	13_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
14	GSM426561	14_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
15	GSM426562	15_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
16	GSM426563	16_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
17	GSM426564	17_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
18	GSM426565	18_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
20	GSM426566	20_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
21	GSM426567	21_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
24	GSM426568	24_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
25	GSM426569	25_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
26	GSM426570	26_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
27	GSM426571	27_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
28	GSM426572	28_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
29	GSM426573	29_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
30	GSM426574	30_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
31	GSM426575	31_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
32	GSM426576	32_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
33	GSM426577	33_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
34	GSM426578	34_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
35	GSM426579	35_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
36	GSM426580	36_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
39	GSM426581	39_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
40	GSM426582	40_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
42	GSM426583	42_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
43	GSM426584	43_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
44	GSM426585	44_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
46	GSM426586	46_CIN_CYT.TXT	CIN INDEX CYTOBAND	CRC_BROSENS_2010_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
