PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM95496	GSM95496.CEL	GSM95496.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95497	GSM95497.CEL	GSM95497.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95498	GSM95498.CEL	GSM95498.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95499	GSM95499.CEL	GSM95499.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95500	GSM95500.CEL	GSM95500.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95501	GSM95501.CEL	GSM95501.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95502	GSM95502.CEL	GSM95502.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95503	GSM95503.CEL	GSM95503.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95504	GSM95504.CEL	GSM95504.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95505	GSM95505.CEL	GSM95505.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95506	GSM95506.CEL	GSM95506.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95507	GSM95507.CEL	GSM95507.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95508	GSM95508.CEL	GSM95508.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95509	GSM95509.CEL	GSM95509.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95510	GSM95510.CEL	GSM95510.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95493	GSM95493.CEL	GSM95493.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95494	GSM95494.CEL	GSM95494.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95495	GSM95495.CEL	GSM95495.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95481	GSM95481.CEL	GSM95481.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95482	GSM95482.CEL	GSM95482.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
GSM95483	GSM95483.CEL	GSM95483.CEL	U133 Plus 2.0	CRC_GALAMB_2010_01.Rda	RMA normalized
