SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
15	GSM136578	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
27	GSM136579	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
61	GSM136580	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
93	GSM136581	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
98	GSM136582	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
60	GSM136583	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
41	GSM136584	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
13	GSM136585	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
103	GSM136586	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
7	GSM136587	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
97	GSM136588	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
92	GSM136589	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
57	GSM136590	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
45	GSM136591	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
59	GSM136592	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
25	GSM136593	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
2	GSM136594	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
26	GSM136595	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
64	GSM136596	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
101	GSM136597	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
88	GSM136598	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
31	GSM136599	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
44	GSM136600	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
54	GSM136601	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
30	GSM136602	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
4	GSM136603	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
5	GSM136604	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
47	GSM136605	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
99	GSM136606	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
29	GSM136607	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
74	GSM136608	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
14	GSM136609	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
21	GSM136610	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
76	GSM136611	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
63	GSM136612	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
77	GSM136613	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
16	GSM136614	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
36	GSM136615	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
96	GSM136616	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
1	GSM136617	U133A 2.0	CRC_KHAMBATA_FORD_2007_01.Rda	RMA Normalization
