SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GDOC2_A196_Normal	GDOC2_A196_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC4_A522_Normal	GDOC4_A522_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC6_A748_Normal	GDOC6_A748_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC8_A1717_Normal	GDOC8_A1717_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC10_A2184_Normal	GDOC10_A2184_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC12_B35_Normal	GDOC12_B35_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC14_B189_Normal	GDOC14_B189_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC16_B264_Normal	GDOC16_B264_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC18_B349_Normal	GDOC18_B349_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC20_B396_Normal	GDOC20_B396_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC22_B645_Normal	GDOC22_B645_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC24_B777_Normal	GDOC24_B777_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC26_B972_Normal	GDOC26_B972_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC28_B1244_Normal	GDOC28_B1244_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC30_R43_Normal	GDOC30_R43_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC32_A154_Normal	GDOC32_A154_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC34_A155_Normal	GDOC34_A155_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC36_A208_Normal	GDOC36_A208_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC38_A226_Normal	GDOC38_A226_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC40_A251_Normal	GDOC40_A251_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC42_A278_Normal	GDOC42_A278_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC44_A290_Normal	GDOC44_A290_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC46_A540_Normal	GDOC46_A540_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC48_A557_Normal	GDOC48_A557_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC50_A579_Normal	GDOC50_A579_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC52_A591_Normal	GDOC52_A591_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC54_A611_Normal	GDOC54_A611_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC56_A628_Normal	GDOC56_A628_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC58_A665_Normal	GDOC58_A665_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC60_A671_Normal	GDOC60_A671_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC61_B20_Normal	GDOC61_B20_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC62_A632_Normal	GDOC62_A632_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC63_B309_Normal	GDOC63_B309_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC64_B312_Normal	GDOC64_B312_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC65_A584_Normal	GDOC65_A584_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC66_A651_Normal	GDOC66_A651_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC67_B296_Normal	GDOC67_B296_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC70_A734_Normal	GDOC70_A734_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC72_A548_Normal	GDOC72_A548_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
GDOC79_B155_Normal	GDOC79_B155_Normal	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
A196	GDOC1_A196_Tumor	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
A522	GDOC3_A522_Tumor	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
A748	GDOC5_A748_Tumor	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
A1717	GDOC7_A1717_Tumor	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
A2184	GDOC9_A2184_Tumor	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
B35	GDOC11_B35_Tumor	Human Exon 1.0 ST Array	CRC_PILOT_01.Rda	RMA Normalization
