PATIENT_ID	SAMPLE_ID	FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
anon1	anon1	anon1.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
anon11	anon11	anon11.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
anon12	anon12	anon12.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
anon14	anon14	anon14.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
anon2	anon2	anon2.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
anon3	anon3	anon3.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
anon8H	anon8H	anon8H.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X101	X101	X101.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X109	X109	X109.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X110	X110	X110.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X120A	X120A	X120A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X132	X132	X132.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X132A	X132A	X132A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X133	X133	X133.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X16	X16	X16.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X163	X163	X163.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X164	X164	X164.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X165	X165	X165.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X166	X166	X166.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X167	X167	X167.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X170	X170	X170.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X171	X171	X171.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X171A	X171A	X171A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X173	X173	X173.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X178	X178	X178.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X18	X18	X18.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X185A	X185A	X185A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X199A	X199A	X199A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X2	X2	X2.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X201	X201	X201.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X227	X227	X227.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X237	X237	X237.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X24	X24	X24.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X243A	X243A	X243A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X248	X248	X248.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X24A	X24A	X24A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X259	X259	X259.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X27	X27	X27.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X27A	X27A	X27A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X298A	X298A	X298A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X299	X299	X299.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X299A	X299A	X299A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X301	X301	X301.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X302	X302	X302.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X322	X322	X322.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X334	X334	X334.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X334A	X334A	X334A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X348	X348	X348.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X354	X354	X354.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X354A	X354A	X354A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X385A	X385A	X385A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X390	X390	X390.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X390A	X390A	X390A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X396	X396	X396.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X396A	X396A	X396A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X398	X398	X398.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X398A	X398A	X398A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X40	X40	X40.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X402	X402	X402.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X403A	X403A	X403A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X404	X404	X404.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X405	X405	X405.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X409	X409	X409.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X411	X411	X411.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X413	X413	X413.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X415	X415	X415.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X418	X418	X418.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X42	X42	X42.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X42A	X42A	X42A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X434	X434	X434.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X44	X44	X44.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X449	X449	X449.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X44A	X44A	X44A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X45	X45	X45.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X460	X460	X460.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X462	X462	X462.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X473A	X473A	X473A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X478	X478	X478.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X501	X501	X501.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X505	X505	X505.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X521	X521	X521.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X534	X534	X534.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X534A	X534A	X534A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X550	X550	X550.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X550A	X550A	X550A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X565	X565	X565.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X567	X567	X567.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X567A	X567A	X567A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X57A	X57A	X57A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X61A	X61A	X61A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X660	X660	X660.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X660A	X660A	X660A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X663	X663	X663.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X708	X708	X708.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X727	X727	X727.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X754	X754	X754.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X766	X766	X766.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X766A	X766A	X766A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X774	X774	X774.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X79	X79	X79.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X79A	X79A	X79A.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X8	X8	X8.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X85	X85	X85.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X919	X919	X919.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X924	X924	X924.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X93	X93	X93.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
X98	X98	X98.txt	Illumina Human v1MicroRNA expression beadchip	CRC_SARVER_2009_01_microRNA.Rda	Median normalization
