SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
CO1018	GSM324715	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1025	GSM324716	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1028	GSM324717	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1030	GSM324718	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1034	GSM324719	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1036	GSM324720	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1038	GSM324721	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1040	GSM324722	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1048	GSM324723	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1050	GSM324724	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1058	GSM324725	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1063	GSM324726	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1073	GSM324727	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1087	GSM324728	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1116	GSM324729	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1117	GSM324730	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1130	GSM324731	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1133	GSM324732	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1137	GSM324733	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO1144	GSM324734	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO13IT	GSM324735	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO15IT	GSM324736	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO17IT	GSM324737	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO18IT	GSM324738	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO20IT	GSM324739	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO22IT	GSM324740	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO29IT	GSM324741	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO418	GSM324742	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO424	GSM324743	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO425	GSM324744	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO427	GSM324745	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO438	GSM324746	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO460	GSM324747	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO480	GSM324748	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO482	GSM324749	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO501	GSM324750	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO510	GSM324751	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO528	GSM324752	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO533	GSM324753	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO536	GSM324754	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO557	GSM324755	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO584	GSM324756	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO590	GSM324757	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO623	GSM324758	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO636	GSM324759	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO667	GSM324760	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO674	GSM324761	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO6IT	GSM324762	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO704	GSM324763	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO741	GSM324764	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO745	GSM324765	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO763	GSM324766	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO777	GSM324767	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO795	GSM324768	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO797	GSM324769	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO7IT	GSM324770	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO822	GSM324771	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO868	GSM324772	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO885	GSM324773	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO913	GSM324774	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO973	GSM324775	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
CO997	GSM324776	U133A	CRC_STAUB_2009_01.Rda	RMA normalization
