PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM411235	GSM411235	GSM411235.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411236	GSM411236	GSM411236.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411237	GSM411237	GSM411237.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411238	GSM411238	GSM411238.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411239	GSM411239	GSM411239.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411240	GSM411240	GSM411240.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411241	GSM411241	GSM411241.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411242	GSM411242	GSM411242.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411243	GSM411243	GSM411243.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411244	GSM411244	GSM411244.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411245	GSM411245	GSM411245.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411246	GSM411246	GSM411246.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411247	GSM411247	GSM411247.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411248	GSM411248	GSM411248.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411249	GSM411249	GSM411249.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411250	GSM411250	GSM411250.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411251	GSM411251	GSM411251.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411252	GSM411252	GSM411252.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411253	GSM411253	GSM411253.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411254	GSM411254	GSM411254.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411255	GSM411255	GSM411255.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411256	GSM411256	GSM411256.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411257	GSM411257	GSM411257.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411258	GSM411258	GSM411258.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411259	GSM411259	GSM411259.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411260	GSM411260	GSM411260.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411261	GSM411261	GSM411261.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411262	GSM411262	GSM411262.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411263	GSM411263	GSM411263.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411264	GSM411264	GSM411264.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411265	GSM411265	GSM411265.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411266	GSM411266	GSM411266.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411267	GSM411267	GSM411267.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411268	GSM411268	GSM411268.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411269	GSM411269	GSM411269.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411270	GSM411270	GSM411270.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411271	GSM411271	GSM411271.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411272	GSM411272	GSM411272.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411273	GSM411273	GSM411273.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411274	GSM411274	GSM411274.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411275	GSM411275	GSM411275.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411276	GSM411276	GSM411276.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411277	GSM411277	GSM411277.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411278	GSM411278	GSM411278.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411279	GSM411279	GSM411279.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411280	GSM411280	GSM411280.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411281	GSM411281	GSM411281.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411282	GSM411282	GSM411282.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411283	GSM411283	GSM411283.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411284	GSM411284	GSM411284.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411285	GSM411285	GSM411285.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411286	GSM411286	GSM411286.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411287	GSM411287	GSM411287.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411288	GSM411288	GSM411288.CEL	U133A	desmedt_binary.Rda	RMA Normalized
GSM411289	GSM411289	GSM411289.CEL	U133A	desmedt_binary.Rda	RMA Normalized
