SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
DMD1	DMD1	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD2	GSM139516	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD3	GSM139517	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD4	GSM139519	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD5	GSM139520	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD6	GSM139521	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD7	GSM139522	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD8	GSM139523	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD9	GSM139524	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD10	GSM139525	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD11	GSM139526	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD12	GSM139527	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD13	GSM139528	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD14	GSM139529	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD15	GSM139530	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD16	GSM139531	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD17	GSM139532	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD18	GSM139533	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD19	GSM139534	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD20	GSM139535	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD21	GSM139536	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
DMD22	GSM139537	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C1	GSM139501	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C2	GSM139502	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C3	GSM139503	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C4	GSM139504	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C5	GSM139505	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C6	GSM139506	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C7	GSM139507	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C8	GSM139508	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C9	GSM139509	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C10	GSM139510	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C11	GSM139511	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C12	GSM139512	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C13	GSM139513	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
C14	GSM139514	U133A	DMD_PESCATORI_2007_01.Rda	RMA normalization
