SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
7AW	X7AW.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
7AW	X7AW.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
10JM	X10JM.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
10JM	X10JM.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
10JM	X10JM.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
14ML	X14ML.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
14ML	X14ML.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
1EB	X1EB.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
1EB	X1EB.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
16EO	X16EO.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
16EO	X16EO.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
16EO	X16EO.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
19DS	X19DS.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
19DS	X19DS.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5CE	X5.4CE	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5CE	X5.9CE	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5MK	X5.12MK	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5MK	X5.13MK	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
6DF	X6DF.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
6DF	X6DF.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
8CL	X8CL.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
8CL	X8CL.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5VF	X5VF.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5VF	X5VF.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5VF	X5VF.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
15FK	X15FK.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
15FK	X15FK.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
15FK	X15FK.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
2EC	X2EC.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
2EC	X2EC.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
3RM	X3RM.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
3RM	X3RM.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
21DC	X21DC.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
21DC	X21DC.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
9AT	X9AT.2	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
9AT	X9AT.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
13MH	X13MH.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
13MH	X13MH.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
20ET	X20ET.1	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
20ET	X20ET.3	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5DD	X5.2DD	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
5DD	X5.6DD	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4RE	X4.1RE	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4RE	X4.4RE	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4HC	X4.6HC	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4HC	X4.11HC	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4SM	X4.10SM	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4SM	X4.13SM	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4CJ	X4.7CJ	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
4CJ	X4.12CJ	U133 Plus 2.0	Edinburgh_binary.Rda	RMA normalization
