SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
B13	GSM248688	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B17	GSM248689	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B19	GSM248690	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B25	GSM248691	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B29	GSM248692	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B31	GSM248693	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B33	GSM248694	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B35	GSM248695	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B39	GSM248696	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B66	GSM248697	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B68	GSM248698	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B70	GSM248699	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B72	GSM248700	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B74	GSM248701	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B76	GSM248702	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B78	GSM248703	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B80	GSM248704	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B82	GSM248705	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B84	GSM248706	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B86	GSM248707	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B88	GSM248708	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B90	GSM248709	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B94	GSM248710	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B96	GSM248711	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
B98	GSM248712	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M100	GSM248713	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M102	GSM248714	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M104	GSM248715	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M106	GSM248716	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M11	GSM248717	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M13	GSM248718	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M15	GSM248719	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M17	GSM248720	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M31	GSM248721	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M35	GSM248722	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M43	GSM248723	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M49	GSM248724	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M53	GSM248725	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M59	GSM248726	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M67	GSM248727	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M69	GSM248728	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M71	GSM248729	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M73	GSM248730	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M79	GSM248731	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M81	GSM248732	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M88	GSM248733	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M90	GSM248734	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M92	GSM248735	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M94	GSM248736	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M96	GSM248737	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
M98	GSM248738	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY16	GSM248739	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY18	GSM248740	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY2	GSM248741	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY204	GSM248742	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY206	GSM248743	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY208	GSM248744	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY216	GSM248745	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY218	GSM248746	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY222	GSM248747	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY224	GSM248748	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY226	GSM248749	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY228	GSM248750	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY232	GSM248751	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY26	GSM248752	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY307	GSM248753	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY309	GSM248754	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY311	GSM248755	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY313	GSM248756	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY317	GSM248757	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY319	GSM248758	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY321	GSM248759	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY323	GSM248760	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY325	GSM248761	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY327	GSM248762	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY329	GSM248763	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY331	GSM248764	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY333	GSM248765	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY34	GSM248766	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY36	GSM248767	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY39	GSM248768	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY41	GSM248769	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY44	GSM248770	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY6	GSM248771	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY65	GSM248772	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY7	GSM248773	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY70	GSM248774	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY79	GSM248775	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY82	GSM248776	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY96	GSM248777	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
NY99	GSM248778	U133 Plus 2.0	HCC_TOFFANIN_2011_01.Rda	RMA normalization
