SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
B13	GSM517193	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B17	GSM517194	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B19	GSM517195	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B25	GSM517196	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B29	GSM517197	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B31	GSM517198	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B33	GSM517199	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B35	GSM517200	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B39	GSM517201	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B66	GSM517202	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B68	GSM517203	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B70	GSM517204	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B72	GSM517205	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B74	GSM517206	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B76	GSM517207	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B78	GSM517208	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B80	GSM517209	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B82	GSM517210	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B84	GSM517211	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B86	GSM517212	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B88	GSM517213	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B90	GSM517214	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B94	GSM517215	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B96	GSM517216	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
B98	GSM517217	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M100	GSM517218	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M102	GSM517219	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M104	GSM517220	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M106	GSM517221	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M11	GSM517222	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M13	GSM517223	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M15	GSM517224	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M17	GSM517225	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M31	GSM517226	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M35	GSM517227	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M43	GSM517228	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M53	GSM517229	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M67	GSM517230	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
M69	GSM517231	Homo sapiens microRNA profiling platform version 4	HCC_TOFFANIN_2011_01_microRNA.Rda	Median scaling
