SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
A1	GSM1977564	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A2	GSM1977565	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A3	GSM1977566	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A4	GSM1977567	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A5	GSM1977568	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A6	GSM1977569	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A7	GSM1977570	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A8	GSM1977571	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A9	GSM1977572	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A10	GSM1977573	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A11	GSM1977574	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A12	GSM1977575	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A13	GSM1977576	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A14	GSM1977577	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A15	GSM1977578	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
A16	GSM1977579	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B1	GSM1977580	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B2	GSM1977581	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B3	GSM1977582	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B4	GSM1977583	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B5	GSM1977584	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B6	GSM1977585	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B7	GSM1977586	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B8	GSM1977587	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B9	GSM1977588	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B10	GSM1977589	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B11	GSM1977590	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B12	GSM1977591	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B13	GSM1977592	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
B14	GSM1977593	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
D1	GSM1977594	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
D2	GSM1977595	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
D3	GSM1977596	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
D4	GSM1977597	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
D5	GSM1977598	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
D6	GSM1977599	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
D7	GSM1977600	Whole Human Genome Microarray 4x44K G4112F	ID_FENG_XXXX_01.Rda	Quantile Normalization
