SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
RM57_2014_Neg_Mock_PBMC	GSM1002422	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM19_2014_Neg_Poly IC H_MACRO	GSM1002384	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM17_2014_Neg_Mock_MACRO	GSM1002382	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM59_2014_Neg_Poly IC L_PBMC	GSM1002424	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM1_2046_Neg_Mock_MACRO	GSM1002366	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM2_2046_Neg_Poly IC H_MACRO	GSM1002367	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM41_2046_Neg_Mock_PBMC	GSM1002406	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM43_2046_Neg_Poly IC L_PBMC	GSM1002408	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM18_2047_Neg_Mock_MACRO	GSM1002383	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM60_2047_Neg_Poly IC L_PBMC	GSM1002425	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM58_2047_Neg_Mock_PBMC	GSM1002423	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM20_2047_Neg_Poly IC H_MACRO	GSM1002385	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM48_2048_Neg_Poly IC L_PBMC	GSM1002413	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM7_2048_Neg_Mock_MACRO	GSM1002372	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM46_2048_Neg_Mock_PBMC	GSM1002411	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM8_2048_Neg_Poly IC H_MACRO	GSM1002373	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM49_2049_Neg_Mock_PBMC	GSM1002414	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM9_2049_Neg_Mock_MACRO	GSM1002374	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM11_2049_Neg_Poly IC H_MACRO	GSM1002376	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM51_2049_Neg_Poly IC L_PBMC	GSM1002416	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM61_2050_Neg_Mock_PBMC	GSM1002426	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM23_2050_Neg_Poly IC H_MACRO	GSM1002388	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM21_2050_Neg_Mock_MACRO	GSM1002386	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM63_2050_Neg_Poly IC L_PBMC	GSM1002428	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM22_2051_Neg_Mock_MACRO	GSM1002387	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM64_2051_Neg_Poly IC L_PBMC	GSM1002429	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM62_2051_Neg_Mock_PBMC	GSM1002427	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM24_2051_Neg_Poly IC H_MACRO	GSM1002389	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM26_2052_Neg_Mock_MACRO	GSM1002391	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM28_2052_Neg_Poly IC H_MACRO	GSM1002393	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM69_2052_Neg_Mock_PBMC	GSM1002434	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM71_2052_Neg_Poly IC L_PBMC	GSM1002436	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM70_2053_Neg_Mock_PBMC	GSM1002435	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM72_2053_Neg_Poly IC L_PBMC	GSM1002437	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM35_2053_Neg_Poly IC H_MACRO	GSM1002400	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM33_2053_Neg_Mock_MACRO	GSM1002398	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM34_2054_Neg_Mock_MACRO	GSM1002399	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM73_2054_Neg_Mock_PBMC	GSM1002438	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM36_2054_Neg_Poly IC H_MACRO	GSM1002401	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM75_2054_Neg_Poly IC L_PBMC	GSM1002440	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM5_3049_Pos_Poly IC H_MACRO	GSM1002370	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM44_3049_Pos_Poly IC L_PBMC	GSM1002409	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM3_3049_Pos_Mock_MACRO	GSM1002368	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM42_3049_Pos_Mock_PBMC	GSM1002407	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM4_3050_Pos_Mock_MACRO	GSM1002369	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM6_3050_Pos_Poly IC H_MACRO	GSM1002371	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM45_3050_Pos_Mock_PBMC	GSM1002410	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM47_3050_Pos_Poly IC L_PBMC	GSM1002412	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
RM52_3052_Pos_Poly IC L_PBMC	GSM1002417	Illumina HumanHT-12 v4 BeadChip A	ID_QIAN_2013_01.Rda	Quantile Normalization
