SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
TCGA-04-1338	TCGA-04-1338	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-04-1349	TCGA-04-1349	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-04-1362	TCGA-04-1362	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-04-1364	TCGA-04-1364	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-04-1525	TCGA-04-1525	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-04-1638	TCGA-04-1638	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-09-0366	TCGA-09-0366	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-09-0369	TCGA-09-0369	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-10-0926	TCGA-10-0926	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-10-0931	TCGA-10-0931	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-10-0934	TCGA-10-0934	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-10-0937	TCGA-10-0937	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-10-0938	TCGA-10-0938	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0717	TCGA-13-0717	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0720	TCGA-13-0720	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0723	TCGA-13-0723	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0724	TCGA-13-0724	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0725	TCGA-13-0725	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0727	TCGA-13-0727	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0755	TCGA-13-0755	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0757	TCGA-13-0757	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0764	TCGA-13-0764	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
TCGA-13-0791	TCGA-13-0791	Human_miRNA_Microarray_2.0_G4470B	OV_TCGA_2011_01_microRNA.Rda	QUANTILE NORMALIZATION
