SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM1047395	GSM1047395	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047396	GSM1047396	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047397	GSM1047397	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047398	GSM1047398	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047399	GSM1047399	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047400	GSM1047400	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047401	GSM1047401	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047402	GSM1047402	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047403	GSM1047403	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047404	GSM1047404	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047405	GSM1047405	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047406	GSM1047406	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047407	GSM1047407	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047408	GSM1047408	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047409	GSM1047409	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047410	GSM1047410	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047411	GSM1047411	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047412	GSM1047412	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047413	GSM1047413	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047414	GSM1047414	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
GSM1047415	GSM1047415	Illumina HumanHT-12 v3 BeadChip	PBT_HENRIQUEZ_2013_01.Rda	Quantile Normalization
