SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
PCA0001	GSM525575	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0002	GSM525576	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0003	GSM525577	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0004	GSM525578	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0005	GSM525579	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0006	GSM525580	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0007	GSM525581	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0008	GSM525582	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0009	GSM525583	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0010	GSM525584	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0011	GSM525585	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0012	GSM525586	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
PCA0013	GSM525587	CIN INDEX CHROMOSOME	PC_TAYLOR_2011_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromsomal Instability Index
