SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
PCA0001	GSM526419	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0003	GSM526420	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0005	GSM526421	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0007	GSM526422	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0009	GSM526423	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0012	GSM526424	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0017	GSM526425	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0023	GSM526426	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0024	GSM526427	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0027	GSM526428	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0029	GSM526429	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0033	GSM526430	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0040	GSM526431	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0050	GSM526432	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0054	GSM526433	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0056	GSM526434	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0057	GSM526435	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0062	GSM526436	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0063	GSM526437	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0064	GSM526438	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0065	GSM526439	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0066	GSM526440	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0074	GSM526441	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0075	GSM526442	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0077	GSM526443	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0080	GSM526444	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0081	GSM526445	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0082	GSM526446	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0086	GSM526447	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0087	GSM526448	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0089	GSM526449	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0090	GSM526450	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0092	GSM526451	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0093	GSM526452	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0094	GSM526453	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0095	GSM526454	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0096	GSM526455	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0097	GSM526456	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0099	GSM526457	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0101	GSM526458	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0103	GSM526459	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0104	GSM526460	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0105	GSM526461	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0107	GSM526462	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0108	GSM526463	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0109	GSM526464	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0110	GSM526465	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0111	GSM526466	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0112	GSM526467	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0113	GSM526468	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0114	GSM526469	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0115	GSM526470	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0117	GSM526471	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0118	GSM526472	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0119	GSM526473	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0120	GSM526474	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0122	GSM526475	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0124	GSM526476	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0125	GSM526477	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0126	GSM526478	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0127	GSM526479	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0128	GSM526480	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0129	GSM526481	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0130	GSM526482	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0132	GSM526483	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0134	GSM526484	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0135	GSM526485	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0136	GSM526486	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0141	GSM526487	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0144	GSM526488	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0145	GSM526489	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0146	GSM526490	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0147	GSM526491	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0149	GSM526492	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0151	GSM526493	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0155	GSM526494	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0156	GSM526495	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0157	GSM526496	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0158	GSM526497	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0159	GSM526498	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0160	GSM526499	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0161	GSM526500	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0162	GSM526501	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0163	GSM526502	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0164	GSM526503	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0165	GSM526504	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0167	GSM526505	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0168	GSM526506	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0169	GSM526507	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0170	GSM526508	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0171	GSM526509	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0172	GSM526510	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0173	GSM526511	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0174	GSM526512	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0175	GSM526513	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0178	GSM526514	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0179	GSM526515	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0180	GSM526516	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0181	GSM526517	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0184	GSM526518	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0187	GSM526519	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0189	GSM526520	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0190	GSM526521	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0194	GSM526522	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0199	GSM526523	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0200	GSM526524	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0201	GSM526525	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0203	GSM526526	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0206	GSM526527	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0207	GSM526528	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0208	GSM526529	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0211	GSM526530	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PCA0213	GSM526531	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0151	GSM526533	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0157	GSM526534	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0164	GSM526535	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0113	GSM526536	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0107	GSM526537	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0109	GSM526538	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0110	GSM526539	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0112	GSM526540	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0114	GSM526541	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0115	GSM526542	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0122	GSM526543	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0125	GSM526544	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0117	GSM526545	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0120	GSM526546	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0127	GSM526547	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0128	GSM526548	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0129	GSM526549	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0134	GSM526550	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0135	GSM526551	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0136	GSM526552	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0144	GSM526553	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0147	GSM526554	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0162	GSM526555	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0167	GSM526556	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0169	GSM526557	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0171	GSM526558	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0172	GSM526559	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
PAN0174	GSM526560	Human miRNA Microarray 2.0 G4470B	PC_TAYLOR_2011_01_microRNA.Rda	Quantile Normalization
