PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM414924	GSM414924	GSM414924.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414925	GSM414925	GSM414925.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414926	GSM414926	GSM414926.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414927	GSM414927	GSM414927.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414928	GSM414928	GSM414928.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414929	GSM414929	GSM414929.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414930	GSM414930	GSM414930.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414931	GSM414931	GSM414931.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414933	GSM414933	GSM414933.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414934	GSM414934	GSM414934.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414935	GSM414935	GSM414935.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414936	GSM414936	GSM414936.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414937	GSM414937	GSM414937.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414938	GSM414938	GSM414938.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414939	GSM414939	GSM414939.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414940	GSM414940	GSM414940.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414941	GSM414941	GSM414941.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414942	GSM414942	GSM414942.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414943	GSM414943	GSM414943.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414944	GSM414944	GSM414944.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414945	GSM414945	GSM414945.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414946	GSM414946	GSM414946.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414947	GSM414947	GSM414947.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414948	GSM414948	GSM414948.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414949	GSM414949	GSM414949.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414950	GSM414950	GSM414950.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414951	GSM414951	GSM414951.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414952	GSM414952	GSM414952.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414953	GSM414953	GSM414953.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414954	GSM414954	GSM414954.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414955	GSM414955	GSM414955.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414956	GSM414956	GSM414956.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414957	GSM414957	GSM414957.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414958	GSM414958	GSM414958.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414959	GSM414959	GSM414959.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414960	GSM414960	GSM414960.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414961	GSM414961	GSM414961.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414962	GSM414962	GSM414962.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414963	GSM414963	GSM414963.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414964	GSM414964	GSM414964.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414965	GSM414965	GSM414965.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414966	GSM414966	GSM414966.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414967	GSM414967	GSM414967.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414968	GSM414968	GSM414968.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414969	GSM414969	GSM414969.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414970	GSM414970	GSM414970.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414971	GSM414971	GSM414971.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414972	GSM414972	GSM414972.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414973	GSM414973	GSM414973.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414974	GSM414974	GSM414974.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
GSM414975	GSM414975	GSM414975.CEL	U133 Plus 2.0	PNC_PEI_2009_01.Rda	RMA normalization
