PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
99	99	GSM232259.CEL	U133 Plus 2.0	test.rda	test r file
98	98	GSM232206.CEL	U133 Plus 2.0	test.rda	test r file
96	96	GSM232270.CEL	U133 Plus 2.0	test.rda	test r file
94	94	GSM232258.CEL	U133 Plus 2.0	test.rda	test r file
93	93	GSM232248.CEL	U133 Plus 2.0	test.rda	test r file
92	92	GSM232222.CEL	U133 Plus 2.0	test.rda	test r file
913	913	GSM232199.CEL	U133 Plus 2.0	test.rda	test r file
91	91	GSM232214.CEL	U133 Plus 2.0	test.rda	test r file
909	909	GSM232227.CEL	U133 Plus 2.0	test.rda	test r file
903	903	GSM232234.CEL	U133 Plus 2.0	test.rda	test r file
901	901	GSM232262.CEL	U133 Plus 2.0	test.rda	test r file
900	900	GSM232230.CEL	U133 Plus 2.0	test.rda	test r file
90	90	GSM232220.CEL	U133 Plus 2.0	test.rda	test r file
9	9	GSM232238.CEL	U133 Plus 2.0	test.rda	test r file
899	899	GSM232269.CEL	U133 Plus 2.0	test.rda	test r file
894	894	GSM232198.CEL	U133 Plus 2.0	test.rda	test r file
891	891	GSM232252.CEL	U133 Plus 2.0	test.rda	test r file
890	890	GSM232229.CEL	U133 Plus 2.0	test.rda	test r file
89	89	GSM232223.CEL	U133 Plus 2.0	test.rda	test r file
887	887	GSM232260.CEL	U133 Plus 2.0	test.rda	test r file
883	883	GSM232218.CEL	U133 Plus 2.0	test.rda	test r file
88	88	GSM232267.CEL	U133 Plus 2.0	test.rda	test r file
879	879	GSM232232.CEL	U133 Plus 2.0	test.rda	test r file
877	877	GSM232254.CEL	U133 Plus 2.0	test.rda	test r file
876	876	GSM232202.CEL	U133 Plus 2.0	test.rda	test r file
874	874	GSM232236.CEL	U133 Plus 2.0	test.rda	test r file
873	873	GSM232261.CEL	U133 Plus 2.0	test.rda	test r file
871	871	GSM232213.CEL	U133 Plus 2.0	test.rda	test r file
870	870	GSM232240.CEL	U133 Plus 2.0	test.rda	test r file
868	868	GSM232201.CEL	U133 Plus 2.0	test.rda	test r file
867	867	GSM232239.CEL	U133 Plus 2.0	test.rda	test r file
866	866	GSM232266.CEL	U133 Plus 2.0	test.rda	test r file
865	865	GSM232256.CEL	U133 Plus 2.0	test.rda	test r file
864	864	GSM232215.CEL	U133 Plus 2.0	test.rda	test r file
863	863	GSM232245.CEL	U133 Plus 2.0	test.rda	test r file
862	862	GSM232210.CEL	U133 Plus 2.0	test.rda	test r file
861	861	GSM232244.CEL	U133 Plus 2.0	test.rda	test r file
86	86	GSM232203.CEL	U133 Plus 2.0	test.rda	test r file
857	857	GSM232246.CEL	U133 Plus 2.0	test.rda	test r file
856	856	GSM232225.CEL	U133 Plus 2.0	test.rda	test r file
855	855	GSM232243.CEL	U133 Plus 2.0	test.rda	test r file
853	853	GSM232235.CEL	U133 Plus 2.0	test.rda	test r file
852	852	GSM232265.CEL	U133 Plus 2.0	test.rda	test r file
851	851	GSM232195.CEL	U133 Plus 2.0	test.rda	test r file
849	849	GSM232200.CEL	U133 Plus 2.0	test.rda	test r file
848	848	GSM232205.CEL	U133 Plus 2.0	test.rda	test r file
847	847	GSM232194.CEL	U133 Plus 2.0	test.rda	test r file
846	846	GSM232241.CEL	U133 Plus 2.0	test.rda	test r file
845	845	GSM232208.CEL	U133 Plus 2.0	test.rda	test r file
844	844	GSM232224.CEL	U133 Plus 2.0	test.rda	test r file
843	843	GSM232226.CEL	U133 Plus 2.0	test.rda	test r file
841	841	GSM232257.CEL	U133 Plus 2.0	test.rda	test r file
84	84	GSM232251.CEL	U133 Plus 2.0	test.rda	test r file
839	839	GSM232209.CEL	U133 Plus 2.0	test.rda	test r file
836	836	GSM232217.CEL	U133 Plus 2.0	test.rda	test r file
833	833	GSM232237.CEL	U133 Plus 2.0	test.rda	test r file
820	820	GSM232249.CEL	U133 Plus 2.0	test.rda	test r file
82	82	GSM232255.CEL	U133 Plus 2.0	test.rda	test r file
817	817	GSM232233.CEL	U133 Plus 2.0	test.rda	test r file
815	815	GSM232216.CEL	U133 Plus 2.0	test.rda	test r file
813	813	GSM232221.CEL	U133 Plus 2.0	test.rda	test r file
810	810	GSM232250.CEL	U133 Plus 2.0	test.rda	test r file
81	81	GSM232228.CEL	U133 Plus 2.0	test.rda	test r file
809	809	GSM232219.CEL	U133 Plus 2.0	test.rda	test r file
808	808	GSM232207.CEL	U133 Plus 2.0	test.rda	test r file
806	806	GSM232253.CEL	U133 Plus 2.0	test.rda	test r file
805	805	GSM232211.CEL	U133 Plus 2.0	test.rda	test r file
804	804	GSM232196.CEL	U133 Plus 2.0	test.rda	test r file
80	80	GSM232242.CEL	U133 Plus 2.0	test.rda	test r file
8	8	GSM232247.CEL	U133 Plus 2.0	test.rda	test r file
798	798	GSM232264.CEL	U133 Plus 2.0	test.rda	test r file
797	797	GSM232212.CEL	U133 Plus 2.0	test.rda	test r file
796	796	GSM232197.CEL	U133 Plus 2.0	test.rda	test r file
795	795	GSM232268.CEL	U133 Plus 2.0	test.rda	test r file
794	794	GSM232204.CEL	U133 Plus 2.0	test.rda	test r file
793	793	GSM232231.CEL	U133 Plus 2.0	test.rda	test r file
791	791	GSM232263.CEL	U133 Plus 2.0	test.rda	test r file
