PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM305236	GSM305236	GSM305236.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305243	GSM305243	GSM305243.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305153	GSM305153	GSM305153.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305192	GSM305192	GSM305192.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305180	GSM305180	GSM305180.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305263	GSM305263	GSM305263.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305217	GSM305217	GSM305217.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305164	GSM305164	GSM305164.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305216	GSM305216	GSM305216.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305140	GSM305140	GSM305140.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305207	GSM305207	GSM305207.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305129	GSM305129	GSM305129.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305139	GSM305139	GSM305139.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305213	GSM305213	GSM305213.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305135	GSM305135	GSM305135.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305239	GSM305239	GSM305239.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305214	GSM305214	GSM305214.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305132	GSM305132	GSM305132.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305148	GSM305148	GSM305148.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305138	GSM305138	GSM305138.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305162	GSM305162	GSM305162.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305218	GSM305218	GSM305218.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305250	GSM305250	GSM305250.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305160	GSM305160	GSM305160.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305201	GSM305201	GSM305201.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305195	GSM305195	GSM305195.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305244	GSM305244	GSM305244.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305134	GSM305134	GSM305134.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305232	GSM305232	GSM305232.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305252	GSM305252	GSM305252.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305131	GSM305131	GSM305131.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305141	GSM305141	GSM305141.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305136	GSM305136	GSM305136.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305137	GSM305137	GSM305137.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305168	GSM305168	GSM305168.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305151	GSM305151	GSM305151.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305146	GSM305146	GSM305146.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305133	GSM305133	GSM305133.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305152	GSM305152	GSM305152.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305255	GSM305255	GSM305255.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305143	GSM305143	GSM305143.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305142	GSM305142	GSM305142.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305130	GSM305130	GSM305130.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305211	GSM305211	GSM305211.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305157	GSM305157	GSM305157.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305206	GSM305206	GSM305206.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305251	GSM305251	GSM305251.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305256	GSM305256	GSM305256.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305172	GSM305172	GSM305172.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305196	GSM305196	GSM305196.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305167	GSM305167	GSM305167.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305193	GSM305193	GSM305193.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305147	GSM305147	GSM305147.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305249	GSM305249	GSM305249.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305165	GSM305165	GSM305165.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305144	GSM305144	GSM305144.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305257	GSM305257	GSM305257.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305238	GSM305238	GSM305238.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305247	GSM305247	GSM305247.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305145	GSM305145	GSM305145.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305175	GSM305175	GSM305175.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305241	GSM305241	GSM305241.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305245	GSM305245	GSM305245.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305261	GSM305261	GSM305261.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305246	GSM305246	GSM305246.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305149	GSM305149	GSM305149.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305253	GSM305253	GSM305253.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305260	GSM305260	GSM305260.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305177	GSM305177	GSM305177.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305176	GSM305176	GSM305176.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305258	GSM305258	GSM305258.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305259	GSM305259	GSM305259.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305240	GSM305240	GSM305240.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305248	GSM305248	GSM305248.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305254	GSM305254	GSM305254.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305174	GSM305174	GSM305174.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305219	GSM305219	GSM305219.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305183	GSM305183	GSM305183.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305242	GSM305242	GSM305242.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305173	GSM305173	GSM305173.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305229	GSM305229	GSM305229.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305205	GSM305205	GSM305205.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305185	GSM305185	GSM305185.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305163	GSM305163	GSM305163.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305231	GSM305231	GSM305231.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305234	GSM305234	GSM305234.CEL	U133A	zhang_binary.Rda	RMA Normalization
GSM305166	GSM305166	GSM305166.CEL	U133A	zhang_binary.Rda	RMA Normalization
