PATIENT_ID	SAMPLE_ID	PRIOR_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM447197	BC5836	GSM447252_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447198	BC9934	GSM447253_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447199	BC9948	GSM447254_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447200	BC11979	GSM447255_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447201	BC12710	GSM447256_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447202	BC13008	GSM447257_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447203	BC13591	GSM447258_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447204	BC7780	GSM447259_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447205	BC12652	GSM447260_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447206	BC2163cc	GSM447261_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447207	BC11348	GSM447262_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447208	BC8484	GSM447263_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447209	BC2933	GSM447264_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447210	BC5520	GSM447265_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447211	BC8504	GSM447266_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447212	BC9317	GSM447267_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447213	BC9983	GSM447268_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447214	BC9991	GSM447269_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447215	BC10797	GSM447270_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447216	BC9725	GSM447271_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447217	BC8584	GSM447272_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447218	BC13329	GSM447273_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447219	BC7462	GSM447274_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447220	BC12781	GSM447275_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447221	BC12851	GSM447276_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447222	BC14481	GSM447277_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447226	BC11041	GSM447281_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447227	BC2352	GSM447285_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
GSM447228	BC3220	GSM447286_CIN_CHR.TXT	CIN INDEX CHROMOSOME	BRC_FINETTI_2009_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
