PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM282373	GSM282373	GSM282373.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282374	GSM282374	GSM282374.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282375	GSM282375	GSM282375.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282376	GSM282376	GSM282376.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282377	GSM282377	GSM282377.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282378	GSM282378	GSM282378.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282379	GSM282379	GSM282379.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282380	GSM282380	GSM282380.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282381	GSM282381	GSM282381.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282382	GSM282382	GSM282382.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282383	GSM282383	GSM282383.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282384	GSM282384	GSM282384.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282385	GSM282385	GSM282385.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282386	GSM282386	GSM282386.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282387	GSM282387	GSM282387.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282388	GSM282388	GSM282388.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282389	GSM282389	GSM282389.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
GSM282390	GSM282390	GSM282390.CEL	U133A	BRC_SCHMIDT_2008_01.Rda	RMA normalization
