PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM65316	GSM65316	GSM65316.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65317	GSM65317	GSM65317.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65318	GSM65318	GSM65318.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65319	GSM65319	GSM65319.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65320	GSM65320	GSM65320.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65321	GSM65321	GSM65321.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65322	GSM65322	GSM65322.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65323	GSM65323	GSM65323.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65324	GSM65324	GSM65324.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65325	GSM65325	GSM65325.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65326	GSM65326	GSM65326.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65327	GSM65327	GSM65327.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65328	GSM65328	GSM65328.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65329	GSM65329	GSM65329.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65330	GSM65330	GSM65330.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65331	GSM65331	GSM65331.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65332	GSM65332	GSM65332.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65333	GSM65333	GSM65333.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65334	GSM65334	GSM65334.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65335	GSM65335	GSM65335.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65336	GSM65336	GSM65336.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65337	GSM65337	GSM65337.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65338	GSM65338	GSM65338.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65339	GSM65339	GSM65339.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65340	GSM65340	GSM65340.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65341	GSM65341	GSM65341.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65342	GSM65342	GSM65342.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65343	GSM65343	GSM65343.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65344	GSM65344	GSM65344.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65345	GSM65345	GSM65345.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65346	GSM65346	GSM65346.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65347	GSM65347	GSM65347.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65348	GSM65348	GSM65348.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65349	GSM65349	GSM65349.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65350	GSM65350	GSM65350.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65351	GSM65351	GSM65351.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65352	GSM65352	GSM65352.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65353	GSM65353	GSM65353.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65354	GSM65354	GSM65354.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65355	GSM65355	GSM65355.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65356	GSM65356	GSM65356.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65357	GSM65357	GSM65357.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65358	GSM65358	GSM65358.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65359	GSM65359	GSM65359.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65360	GSM65360	GSM65360.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65361	GSM65361	GSM65361.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65362	GSM65362	GSM65362.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65363	GSM65363	GSM65363.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65364	GSM65364	GSM65364.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65365	GSM65365	GSM65365.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65366	GSM65366	GSM65366.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65367	GSM65367	GSM65367.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65368	GSM65368	GSM65368.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65369	GSM65369	GSM65369.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65370	GSM65370	GSM65370.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65371	GSM65371	GSM65371.CEL	U133A	sotiriou_binary.Rda	RMA normalized
GSM65372	GSM65372	GSM65372.CEL	U133A	sotiriou_binary.Rda	RMA normalized
